Unnamed: 0	description	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681	S210421121685	S210421121686	S210421121687	S210421121703	S210421121704	S210421121705	S210421121706	NR	STD-NR	Total
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	97869.34612424612	29117.586412832166	111231.19023458364	72090.79622684566	60553.655073040805	65367.99837934736	21323.64900413544	24863.55690852437	7347.959218115167	1640.514395291519	115737.13795657131	93664.48125733726			
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	6.324278981596269	1.3258091727530603	60.498761321973056	90.65676280281546	25.11917397777108	26.006669907720934	0.3370513916268466	3.707140079911646	485.5902791209597	0.1742789973770727	260.82290227779566	1012.5896588194304			
AEROBACTINSYN-PWY	aerobactin biosynthesis	271.51034501390745	20.80710684682053	28.843513237858325	101.74231149885144	38.67345685513875	57.83553305261755	2.4866416269254645	21.45803216385941	83.5268637136093	6.722286893383729	48.84923045060376	100.83553663575904			
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	5236.524973092651	305.0796895225858	418.69263993989335	1609.3185302733834	610.6915785890795	1156.638181773642	62.63889320749325	414.79520770840014	568.6309722721595	40.111010347827886	735.526111157118	1556.0733639229372			
ANAEROFRUCAT-PWY	homolactic fermentation	61500.82219076954	31040.45181229948	64626.56338364	80163.85177794298	46528.58372268743	68093.31010456911	21254.09099002229	26200.97667453768	9700.10453880562	1738.17416504115	103912.50257096296	93825.89230727644			
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	122522.82114125052	37517.9114168578	137068.21321709483	93662.90432337216	73934.68021669972	89673.966663719	27611.314006940585	33641.44660955023	13275.859797931567	2543.255574050096	154002.8312833745	137215.64941802266			
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	4755.901739271991	3376.8095965017505	6611.928248185267	19072.96862601696	5362.416446349453	23304.238190158656	5377.973882970488	8141.292018474895	4798.56305271746	453.5594831984111	14115.717928505674	41612.30282215623			
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	1061.0871110276937	19.84857613068565	22.98328860673721	107.137183864377	42.52627154634355	52.96637808592138	2.2468780291908503	20.89994461430192	82.93470561230636	5.577017608085655	83.71649487535305	97.20819628938078			
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	4591.9534351662205	2817.772395719066	3712.6036241702063	12575.80922532316	3154.558421616628	13048.672524367305	2834.3458834462785	4026.7471078443887	1791.0397899508407	195.069668528858	27547.78306163949	16501.208970748743			
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	54237.22834333367	12306.562407333218	42238.04789880304	50906.81884891398	18931.13870297045	56761.711249744745	14347.65478528012	18852.99445470724	7522.868936055426	1207.176939215296	83545.27455933073	87216.39423605012			
