	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121707	S210421121708	S210421121709	S210421121710
PWY-5837	151.55143369527926	112.83647370877661	302.28551957914647	727.4259033925249	65.70209161522382	403.6449400196112	296.73164863813906	1210.3467423465868	222.56471633766452
PWY-5838	361.921908080705	350.70530442424575	722.4078230663298	1743.722050973787	187.49977550228454	1150.0339108154294	857.2129783848011	2348.499132953399	331.97044057126703
PWY-5840	411.57343309311835	352.11428292245824	738.0507440226279	1829.4366024578455	188.3660233549342	1169.619823145172	861.073242999754	2467.6205370753805	345.0684576258937
PWY-5845	237.6407000516892	288.53620161397725	460.886271265395	1111.0757712798306	109.64654645670741	1034.926026890961	634.7351966675551	638.2067316427933	143.7408895147709
PWY-5850	234.043243737787	235.98297433919214	460.886271265395	943.7617246709339	109.64654645670741	749.7164200162089	634.7351966675551	638.2067316427933	143.7408895147709
PWY-5855	217.6988320989891	2088.1005989564105	394.9078563737455	2272.930755825703	170.40409506556944	1678.6982220990394	695.9133678358966	1157.4421912237967	182.24833780024707
PWY-5856	217.6988320989891	2088.1005989564105	394.9078563737455	2272.930755825703	170.40409506556944	1678.6982220990394	695.9133678358966	1157.4421912237967	182.24833780024707
PWY-5857	217.6988320989891	2088.1005989564105	394.9078563737455	2272.930755825703	170.40409506556944	1678.6982220990394	695.9133678358966	1157.4421912237967	182.24833780024707
PWY-5860	159.48620017964546	161.41948236694435	342.34651607993936	636.2828950398618	75.74684162045098	521.655035852606	442.40758723462517	439.8771359619791	101.4829757907691
PWY-5861	249.65027437983102	242.96946153727887	573.7868391154868	1186.9822345502503	132.95116569436564	819.317196906415	607.1550651599867	1780.2074896518825	254.0069526324416
PWY-5862	161.99282154416613	198.51894067419687	342.34651607993936	750.5891994881441	75.74684162045098	732.2798707967374	442.40758723462517	439.8771359619791	101.4829757907691
PWY-5863	172.5713903827022	128.5893518546936	342.94096649911427	829.1093719624457	74.6025909526119	460.23579571586663	336.88721847542183	1367.1305296348019	249.2725988470038
PWY-5896	234.043243737787	235.98297433919214	460.886271265395	943.7617246709339	109.64654645670741	749.7164200162089	634.7351966675551	638.2067316427933	143.7408895147709
PWY-5897	371.1787270880845	312.4460616376791	671.9601892242249	1661.986566783602	169.4731700126314	1045.203071165723	773.918301310265	2294.793198093211	327.55571557114206
PWY-5898	371.1787270880845	312.4460616376791	671.9601892242249	1661.986566783602	169.4731700126314	1045.203071165723	773.918301310265	2294.793198093211	327.55571557114206
PWY-5899	371.1787270880845	312.4460616376791	671.9601892242249	1661.986566783602	169.4731700126314	1045.203071165723	773.918301310265	2294.793198093211	327.55571557114206
PWY-5910	855.0423988450714	470.18810091244944	124.91523341460952	2695.284123271316	13.085316152498551	605.0744276323196	265.9380166944395	160.2687313274439	6.897195706862473
PWY-5913	6189.641391087978	4599.553949505146	1413.459108941395	47529.77500564181	524.3361098369537	6314.4882182761785	3244.0030609710157	6268.985855059137	651.1091269121772
PWY-5918	653.8646853254886	2441.617390346656	916.9589371735134	2856.762176562231	204.16009884255712	2577.145118755562	1444.4841974131427	3875.8806837472307	206.0514265710241
PWY-5920	221.5346850991338	934.8050616582321	409.15137799129354	667.4033412719939	71.2091886946232	951.0172623510286	583.8792226831806	558.1733320102971	119.01745510880978
PWY-5940	0.0	0.0	0.0	0.0	0.0	0.2147447453264445	0.0	0.0	0.06697246405730542
PWY-5941	321.7706151831308	638.2993979816196	270.833666620456	521.7540395377737	81.06962569082857	1289.5232895183472	375.93830243089076	1484.8270179804956	3.4656495703299997
PWY-5971	826.4297858935399	5194.483503029494	2061.5776771839887	5496.976256272462	720.5222088510844	12033.136995564828	4015.3321102938858	3475.2308432561076	550.1859750797195
PWY-5973	6572.327853652886	8959.8249710637	7931.236209079467	44431.00018849451	1789.8860423550746	32550.622358801214	8091.9454863555975	12178.93781008014	1415.781008549458
PWY-5989	553.957373911346	4890.623078689438	1648.1787593288616	3833.036034790541	842.9379716216202	10440.306968529045	3993.4149026179484	2614.024268404242	412.76377280770095
PWY-6071	100.89055970218924	116.82825002656327	182.50322921720647	236.95079617872443	39.44550225032565	205.8592910346409	217.7989108298201	421.7071442742644	64.48578288256383
PWY-6107	18.104243421734125	81.6373324731425	0.0009536425171652166	10.674671555026272	4.932156080981347e-05	1.850328221197339	0.00030621606375861427	1.5023055135690653	0.16159482449533927
PWY-6113	0.0	66.43511769401712	868.0444435686891	3041.0387173052795	167.89487840814184	320.6850188453221	87.3478928005582	2405.9400427809956	461.28779132341305
