group-id	STD-NC	STD-NC	STD-NC	STD-NR	STD-NR	STD-NR	HSD-NC	HSD-NC	HSD-NC	HSD-NR	HSD-NR	HSD-NR	STD-NC	STD-NC	STD-NC	STD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	STD-NR	STD-NR	STD-NR	STD-NR	HSD-NR	HSD-NR	HSD-NR	HSD-NR
subject_id	S210421121682	S210421121683	S210421121684	S210421121685	S210421121686	S210421121687	S210421121688	S210421121689	S210421121690	S210421121691	S210421121692	S210421121693	S210421121694	S210421121695	S210421121696	S210421121697	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121703	S210421121704	S210421121705	S210421121706	S210421121707	S210421121708	S210421121709	S210421121710
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae	3.562744381997453e-05	0.00743490902891564	0.0014902940367069583	0.0008225305772925223	0.0	0.0	0.06052898766242423	0.4329005311662959	0.23557311417917542	0.025608966629009532	0.19048299769490556	0.2938116379164266	0.011843564156839029	0.0003710230961877377	0.00010075820549636011	0.0	0.4022427577613955	0.018803163706909418	0.01699579151829071	0.6586565945283789	0.012668045501551189	0.04848178776592387	0.003206997084548105	0.0010280799562021221	0.020510899017128267	0.010327770832200902	0.014983824280606163	0.0016136261766024204	0.0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae	0.08505161525923419	0.030288966973849956	0.2719236224306188	0.0057915166675117325	0.10940946732723393	0.011986227673768023	0.00924036223040397	0.0015208607617923457	0.00026408357717050293	0.005477208971706376	0.0003037721351607312	0.00011014335581387468	0.004989416389476867	0.10560554061156974	0.14603642409128692	0.033067671351977974	0.0	0.010147739143411431	0.002508902557461962	0.0008983258472846059	0.0	0.0006312732782021337	0.04577259475218659	0.30153250780463137	0.02701596255858894	0.0067402293852258524	0.013451387706453261	0.01963245181532945	0.017120894479385047
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Muribaculaceae	0.39144763211101513	0.3320894462176676	0.39059251889328733	0.5353434628537304	0.5733193505225472	0.16651603184850441	0.3753474109551109	0.032210468969900576	0.045380121900979224	0.23708762265013136	0.015635330486214107	0.01161588775544786	0.04717266404596311	0.38488699254861947	0.4467240988437996	0.3333719750760759	0.0019727961790052956	0.16437845097746606	0.030430560051796698	0.019559003674969374	0.5690279214064116	0.008837825894829872	0.15801749271137025	0.39787948061066275	0.49164055967832027	0.07876284176767952	0.46285260230433056	0.08211564320932317	0.07058001397624039
Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Peptostreptococcaceae	0.00028501955055979623	0.020419953969862573	0.001342111391011664	0.010360505011239373	0.0019346906303113586	0.0	0.014932261273549591	0.15067114601776607	0.21202742243865338	0.009805663802185807	0.20086485713775173	0.23580845223167385	0.00982763834290898	0.001830380607859506	0.000856444746719061	0.022344587740907116	0.16810300072681963	0.01701238621101328	0.01788604726448689	0.05606369946917109	0.006980351602895553	0.050880626223091974	0.0	0.0050526368579201855	0.007538934973650156	0.025239622402203257	0.007037856859072592	0.005109816225907665	0.005241090146750524
Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae	0.0017724653300437328	0.011886383224572137	0.002819704058087597	0.009892902011819651	0.001573066213430731	0.00017215407789972025	0.045371101561939145	0.08911033428670874	0.07367931803057032	0.014876683464287074	0.09316870074870896	0.11014335581387467	0.059948593891744784	0.002962001051232106	0.006423335600392957	0.10233299521808434	0.1309313674592462	0.07230264139680645	0.03779540304305601	0.0893630053082891	0.005429162357807653	0.10346569029732972	0.0	0.006862224748308474	0.07003264674556008	0.011143121161058868	0.0495487825642772	0.029627969520394443	0.07127882599580712
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae	0.0005878528230295796	0.011763257342564618	0.03756218378881856	0.00791544836367119	0.00047011174194481613	0.016698945556272864	0.09153189001815254	0.003488143339235181	0.011007003496466562	0.08715934045010854	0.005342815789003448	0.006151082793913309	0.0	0.006690783167918869	0.0825965389556412	0.02463411099840603	0.0	0.0008953887479480674	0.02120427322758174	0.02439771335238873	0.010082730093071354	0.0	0.0	0.0	0.0	0.0010690148756137775	0.0009081105624609797	0.0555356342447333	0.14220824598183088
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae	0.008577307099658867	0.06273737249367796	0.08506953999872986	0.04963915696249598	0.054587205728130764	0.26939961265332474	0.0008101982421774847	0.020172212890240765	0.04952095239101271	0.0012947284243662812	0.026892768436288263	0.06096011116006372	0.08232537042636831	0.07886095909470364	0.01386684803143656	0.06683089407332271	0.028345966150970823	0.011341590807342188	0.00178051149239236	0.0040424663127807264	0.0	0.15870210214001643	0.3935860058309038	0.01086170652914356	0.01651418797725483	0.006033592433548948	0.014416255179068051	0.005558045719408337	0.0
Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014|Clostridia_UCG-014	0.011534384936716753	0.07079738215432409	0.022837062596583333	0.07064748930991938	0.05268867753950747	0.07129330751022164	0.237521408719374	0.0569982294456803	0.09870387780324717	0.09250326855460073	0.22028840483891143	0.05385162842715288	0.275274669892148	0.035803728782116684	0.1161994004886773	0.17597449644978988	0.06998234866576679	0.2813012983136845	0.26804791194561345	0.036545528787260105	0.06230610134436401	0.1662142541506218	0.0793002915451895	8.35837362765953e-06	0.17575120473776787	0.33490967730245874	0.12861115840853624	0.09748991483639624	0.07442348008385745
Bacteria|Firmicutes|Clostridia|Oscillospirales|[Eubacterium]_coprostanoligenes_group	0.004132783483117045	0.08686057414545903	0.021520353944833717	0.018642148494938057	0.03209416699815572	0.10600387346675275	0.03761781205451916	0.11609237148348239	0.13657346276949728	0.02638961170840685	0.0487286242696067	0.03912630901142102	0.0029230924301985686	0.01325170825217203	0.02250686415274944	0.05804955803506738	0.010071643650711245	0.0046261751977316815	0.013272903852379411	0.0021641486320947327	0.07006204756980351	0.007385897354964964	0.08950437317784257	0.05000814941428697	0.03856201667377887	0.025493286948959068	0.006697315398149725	0.013626176602420438	0.0
Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae	0.23796460413456486	0.17756646429822984	0.03634285230424014	0.12848378318995385	0.07342783784761148	0.21035076393372068	0.02353677171895351	0.05202705770191129	0.07059482184921884	0.35633591855904345	0.09942283294319461	0.10623750296539804	0.09550448543493599	0.09238475095074668	0.07346532658253356	0.08905955658600202	0.052123351676876754	0.10065661841516192	0.13556167044350922	0.010514495712535729	0.08686659772492245	0.059465942806641	0.14052478134110788	0.10851258562108985	0.03131797791400826	0.28801797394502726	0.03774334525228447	0.28942178395338414	0.24947589098532494
