group-id	STD-NC	STD-NC	STD-NC	STD-NR	STD-NR	STD-NR	HSD-NC	HSD-NC	HSD-NC	HSD-NR	HSD-NR	HSD-NR	STD-NC	STD-NC	STD-NC	STD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	STD-NR	STD-NR	STD-NR	STD-NR	HSD-NR	HSD-NR	HSD-NR	HSD-NR
subject_id	S210421121682	S210421121683	S210421121684	S210421121685	S210421121686	S210421121687	S210421121688	S210421121689	S210421121690	S210421121691	S210421121692	S210421121693	S210421121694	S210421121695	S210421121696	S210421121697	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121703	S210421121704	S210421121705	S210421121706	S210421121707	S210421121708	S210421121709	S210421121710
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium_sensu_stricto_1	3.562744381997453e-05	0.00743490902891564	0.0014902940367069583	0.0008225305772925223	0.0	0.0	0.06052898766242423	0.4329005311662959	0.23557311417917542	0.024872748505350276	0.19048299769490556	0.2938116379164266	0.011843564156839029	0.00011130692885632131	0.00010075820549636011	0.0	0.4022427577613955	0.018803163706909418	0.01699579151829071	0.6586565945283789	0.012668045501551189	0.04848178776592387	0.003206997084548105	0.0010280799562021221	0.020510899017128267	0.00972984725770506	0.014983824280606163	0.0016136261766024204	0.0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_NK3B31_group|uncultured_bacterium	0.0682443686371612	0.026093215763901386	0.2175278900908148	0.003008433755302787	0.09319061223013778	0.01142672692059393	0.006922579917339268	0.0010820054175935594	0.00026408357717050293	0.0004506162653431665	0.0	0.00011014335581387468	0.0040570507005342205	0.086293788454998	0.11786191087936723	0.02022895232574989	0.0	0.0014176988509177735	0.002508902557461962	0.00030624744793793387	0.0	0.0	0.04577259475218659	0.00017134665936702036	0.004805073602625617	0.0035875414469750504	0.008400022702764062	0.018870461676378306	0.013976240391334731
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculaceae|uncultured_bacterium	0.3301862424625689	0.3057594499114441	0.3332416012193315	0.5114957098833246	0.5597403536686797	0.15650957607058316	0.3716963910283364	0.03149922065344048	0.045380121900979224	0.2264568868128102	0.015295820452799171	0.011353238214660928	0.044980344723314185	0.3541848313390842	0.42807123605128594	0.291870743370526	0.0019727961790052956	0.1397552604088942	0.030430560051796698	0.016823193140057167	0.5604963805584281	0.008837825894829872	0.14839650145772595	0.36294565803385975	0.45522261194780683	0.07180518562809153	0.4333957659345025	0.08023307933662036	0.07058001397624039
Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Peptostreptococcaceae|Romboutsia	0.00028501955055979623	0.020419953969862573	0.001342111391011664	0.010360505011239373	0.0019346906303113586	0.0	0.014932261273549591	0.15067114601776607	0.21202742243865338	0.009805663802185807	0.19339563640262317	0.22885247568373607	0.00982763834290898	0.001830380607859506	0.000856444746719061	0.022344587740907116	0.16810300072681963	0.01701238621101328	0.01788604726448689	0.05606369946917109	0.006980351602895553	0.050880626223091974	0.0	0.0050526368579201855	0.007538934973650156	0.025239622402203257	0.007037856859072592	0.005109816225907665	0.005241090146750524
Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Turicibacter	0.0	0.009594347574893686	0.0016046063633861852	0.008084461495991572	0.0007955737171373811	0.0	0.016696237193227152	0.08187678757888046	0.0651124467871592	0.004499815945469085	0.08843342923002698	0.10722879316772291	0.007080939421429291	0.0011254367251028042	0.005617269956422076	0.10065207940878133	0.10985359775724224	0.020817788389792567	0.00534153447717708	0.08372805226623112	0.005429162357807653	0.0679881320623698	0.0	0.0028919972751701973	0.008954436800271998	0.004058632748092986	0.009591917815994097	0.0010757507844016136	0.003843466107617051
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae|Akkermansia|uncultured_bacterium	0.0005878528230295796	0.011763257342564618	0.03756218378881856	0.00791544836367119	0.00047011174194481613	0.016698945556272864	0.09153189001815254	0.003488143339235181	0.011007003496466562	0.08715934045010854	0.005342815789003448	0.006151082793913309	0.0	0.006690783167918869	0.0825965389556412	0.02463411099840603	0.0	0.0008953887479480674	0.02120427322758174	0.02439771335238873	0.010082730093071354	0.0	0.0	0.0	0.0	0.0010690148756137775	0.0009081105624609797	0.0555356342447333	0.14220824598183088
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Ligilactobacillus	0.003731974740142332	0.03962759156303572	0.05539490675077796	0.0014816817933420094	0.0164177485263805	0.2441360017215408	0.00031792589250002564	0.0	0.0	0.00014597428313933562	0.0	0.0	0.031725632496724124	0.03961289923631079	0.0011335298118340512	0.004231270830314447	0.0	0.009401581853454709	0.0	0.0008370763576970192	0.0	0.09121898870020832	0.3201166180758018	0.005140399781010611	0.0017277448766119547	0.001974959685455962	0.0	0.0	0.0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_UCG-003|uncultured_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1058671603679356	0.019275804286056266	0.0	0.0	0.0	0.0031446540880503146
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus_johnsonii	0.0005344116572996179	0.010380458975403238	0.014792861830267364	0.031058979949408736	0.012024011861280874	0.021885087153001935	0.00034869291435486683	0.017039693709235634	0.04714420019647818	0.0011487541412269456	0.014134338759537552	0.044065814891381706	0.024417901421227697	0.0029558173329623104	0.002720471548401723	0.025387624981886684	0.021596926591215867	0.0019400089538874794	0.00178051149239236	0.0017762351980400164	0.0	0.012751720219683101	0.03819241982507288	0.002975581011446793	0.003025288217681977	0.003496946965990832	0.01288381860491515	0.003451367099955177	0.0
Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014|Clostridia_UCG-014|Clostridia_UCG-014|unidentified	0.0017279310252687646	0.008116836990803443	0.004051736912297043	0.03785330786868806	0.011807037211152498	0.032859909619109104	0.07839437168613536	0.016373844221485752	0.0215280932109394	0.00833322755486729	0.03514822293300931	0.006396787203036568	0.007433726438867049	0.008595368395015924	0.00932013400841331	0.016171569337777133	0.0051915688921191985	0.013580062677212356	0.030673357073486566	0.0016129032258064516	0.011633919338159255	0.003977021652673442	0.0	0.0	0.040348740793166735	0.026562301824572847	0.019240592542142006	0.0	0.0
Bacteria|Firmicutes|Clostridia|Oscillospirales|[Eubacterium]_coprostanoligenes_group|[Eubacterium]_coprostanoligenes_group|Clostridiales_bacterium	0.0002582989676948153	0.0	0.0	0.0	0.0	0.0	0.0	0.109040420090495	0.13099601761965626	0.0	0.0	0.0	0.0012095554883580285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007538934973650156	0.0	0.0	0.0	0.0
