Unnamed: 0	description	S210421121682	S210421121683	S210421121684	S210421121685	S210421121686	S210421121687	S210421121694	S210421121695	S210421121696	S210421121697	S210421121703	S210421121704	S210421121705	S210421121706	STD-NC	STD-NR	Total
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	52024.72292597404	47288.26383308979	108507.77169644627	65270.19047671866	20892.253686243625	24864.700089139784	14859.6728379273	75815.44660884442	30469.71812997447	13144.586591140423	7353.365089511376	1642.1503815566257	115766.91921430457	93543.83848553816			
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	20.40945824236429	65.03682343470686	91.65497055210896	26.009577373549607	0.337051071802066	3.7318095303382433	1281.1975172250789	303.71919707088523	523.3365331400365	316.1824033787664	487.5127408981778	0.1742790443503793	275.9356213238831	1024.5134850616996			
AEROBACTINSYN-PWY	aerobactin biosynthesis	8.214692320439543	46.000728989614345	19.616340461625192	57.836158167426696	2.4866416226556645	21.459456913217632	86.65218071042788	60.38267525858574	60.37323738997263	62.93622324913218	83.52686333629588	6.722286893383729	48.84349348979155	100.85905489737534			
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	235.49343457935004	783.5992131374549	462.1789141852991	1156.633998382454	62.60592905056494	415.7237484712216	1164.1154036427736	1096.8533401976158	1180.8792697517513	844.9945647866303	568.9932466696689	40.111270879916304	734.3568960914441	1554.8887702592842			
ANAEROFRUCAT-PWY	homolactic fermentation	46829.27513586717	50318.09832417178	110400.65452416762	68021.06133528388	20773.12221550632	26187.5859359373	20720.66177542167	77427.11094700002	29449.233974935807	15575.696854962	9708.354132813123	1740.265409165935	103915.78324154818	93688.22784807476			
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	67713.09459254245	68130.85902577582	138276.9485406096	89552.71674541109	27035.77451417416	33641.23823428569	29949.78411445365	97817.05925878452	41831.924773546336	20422.105009303163	13283.723689705714	2544.976968070303	154038.49983249418	137104.2272263469			
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	14802.609442836492	18247.99994014993	27263.20474531776	23248.027923073387	5210.518260390019	8147.927502215406	12016.327249900189	22714.431115565403	11316.670590072505	6384.201617508914	4802.476210896868	453.6634844685383	14152.02659983255	41633.00245947707			
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	8.315984562894005	41.33310000594161	16.48858473530068	52.97232815173474	2.2468622978276387	20.91154120266402	246.0725144801524	70.87240729908453	59.16152977140833	56.31079883872712	82.93631433038287	5.577077207221894	83.71429383458262	97.21951765857791			
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	7185.694703418956	6943.869298645173	6540.479448123602	13016.653445468315	2793.257896876117	4033.683182759619	3002.264564403347	17255.373481229253	4652.844373415874	4284.920361354247	1792.268982352705	195.07977008543693	27545.254623063352	16620.67971196349			
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	44377.84466775176	45810.87476324617	57307.8864423489	56642.48150864581	13896.34966374046	18857.60262168009	19132.811051823373	59308.46034614651	23308.08023783362	11476.117801028096	7529.004538020132	1208.8466903404196	83558.72153313614	87190.56977628217			
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	43527.32400354464	44790.36506391732	50339.77919408635	54252.7589277922	11872.601738774065	18023.17052236556	18307.14603927301	56651.67921655379	22133.60896171652	10797.914010976723	7060.508598317811	1153.302773145433	72110.2190777578	83239.63476488902			
ARO-PWY	chorismate biosynthesis I	57716.82894158534	53147.71122156469	87508.9512075823	68693.61310753455	18884.478233386228	17899.241817440157	20499.69653093016	74553.80084232736	32141.3121157928	13743.379181997936	7663.76860862344	1027.145026092629	107961.2016294502	105473.60397834174			
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	44748.56578935572	36697.43243987002	112113.16155122778	61905.72333294832	20305.59326300592	20987.772110394984	11694.335370757532	68893.58081230978	26027.13585582032	10792.256035616603	5962.697920861189	1413.7337152468713	121118.21518971436	87496.19860527474			
AST-PWY	L-arginine degradation II (AST pathway)	15.871398866607093	75.81021086358841	47.50738847464017	80.46312255075829	3.305691562376747	28.5806611112894	455.4452493906951	111.68189086479082	137.22025501229504	144.51400213624868	199.94381802402745	8.94922128257805	100.34274473517732	229.1946284787216			
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	23940.56222264061	17444.73179818925	67732.02680462555	39458.63632477133	14405.50730343599	4895.821881847122	4423.143278140666	34221.65959808043	19040.7885387118	6218.8660499131865	1520.547376390954	319.9039700512305	88640.1141052047	64006.55357028765			
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	61828.93649655634	59096.24977827496	99217.3949009762	79622.65491194524	22661.80088236312	22880.06958312427	24455.37135511385	80619.91676623211	35326.310075348265	15743.127692718364	9479.00052977076	1346.889045485137	135564.87846491946	122637.70228678324			
CALVIN-PWY	Calvin-Benson-Bassham cycle	66776.45997147089	59379.81324008588	128502.098142391	84643.01261768451	25672.635464640905	27236.17351432115	29613.57276808799	91681.6435122008	40758.35136151612	19780.891540396453	11333.371376032042	1643.9782952410617	175086.49835647282	119999.3392059008			
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	13.083905099881438	48.53859395840941	51.10633999123052	14.048254254729356	0.0372012658840868	1.5381990438166666	872.553305602279	174.09979334524144	373.1274259741432	373.8868715318413	380.1242180381556	0.0	46.10435155553855	508.18725716173617			
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	6.507470492768231	2.1234356291263987	29.652273496893752	13.415630862083402	0.1085091016795463	1.470040625447152	14.678605698304622	2.749335738556681	0.8450675623034256	7.619883436373191	1.2131251845563968	0.0	59.30007385422616	2.371319052962192			
CENTFERM-PWY	pyruvate fermentation to butanoate	5934.02510515512	5205.378909394566	4665.07095332562	13585.62555279678	2633.6796556104173	3355.925976378021	4287.22461369419	11167.304240391337	4496.607816983849	2326.781588645241	2567.382976116813	171.64028138206598	13408.112164896836	13718.90928490482			
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)	27.839545395417574	25.65121105425607	53.67464745911673	20.08405193745752	0.5541749675619714	19.51911173046013	321.95665272625945	39.57423217196239	25.21807308933005	19.179417535180363	72.22739973768194	0.0	225.09721093198584	98.0725522543122			
COA-PWY	coenzyme A biosynthesis I	49844.40730195149	51705.32152057618	116707.0019665817	68843.46026651806	21973.5706774594	27739.118229063177	20384.30191447893	78737.07269218971	33521.22566899296	15203.857707914463	9194.909009701309	2078.998714168575	119472.09390679028	104966.0762643166			
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	22476.52576101161	27061.425563679608	62990.88248753459	33256.301357641154	8965.94426393626	10781.317553859812	14883.38479149462	35967.44448504919	18377.56964822147	8668.340110254227	6127.323511761416	592.1557761139862	68181.1468042288	48071.10726862881			
CODH-PWY	reductive acetyl coenzyme A pathway	1158.9794024619885	1265.3307599988952	4544.61333621624	3222.008606705825	434.8477694827207	280.01412463617373	1112.8156550754468	1950.2374975471528	559.7160366084217	379.04370272044287	408.9165209877617	6.136885534971538	4635.0258981807865	5626.3205389403865			
COLANSYN-PWY	colanic acid building blocks biosynthesis	30071.672628394783	26455.17357666804	73112.65853201653	41729.41780063103	13482.177868687795	10307.181057537971	8832.8105124889	49893.448887000246	22742.15253633701	9624.199691703576	2549.69522023846	751.656373628438	44195.99982069139	71183.07515618326			
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	59924.10734318245	55045.46501428249	90575.62480488366	71533.70394230241	19573.169093729062	18710.591081081577	21320.538788805185	77414.72148098021	32979.82936371492	14214.057963970488	7987.45900765092	1077.825458570766	112768.64683742418	110300.0375605854			
CRNFORCAT-PWY	creatinine degradation I	2.5066338797932666	11.336222861540277	24.01664253483731	12.653402799143707	0.6688504571800429	12.563833637406896	218.1534467885904	22.20968261278249	35.8937303042746	34.9796043413478	45.611378225317054	0.0	78.70568475124851	49.89272715761235			
DAPLYSINESYN-PWY	L-lysine biosynthesis I	45305.326033976	48478.57634456727	58258.87783264018	59357.66477130779	14288.544038250511	23606.541868741177	22182.05565610599	67224.5948938693	24058.92261915389	13711.198891370455	9248.992767497455	1478.1411383788725	93076.40643128483	92420.9149395519			
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	16.403138324524598	33.41680261685725	282.69892367109213	24.938062070595223	17.822110471357245	16.78197447659327	126.4779253738379	41.18235642243507	19.62911321704953	69.42833591446606	38.78651836067092	1.1285561920909315	120.46729360793056	1093.5600886265286			
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	26074.31235624312	33850.7991051913	92922.8486665704	45585.00533737099	16115.78937127446	26970.131662875214	15649.679975414949	59849.56973263158	24422.603707641047	10434.667079795718	7990.51357691814	2262.199404237995	101749.52106186235	76385.07965660102			
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	0.0007170910217857	0.0032444069003763	10.766309575111595	0.0020789301942418	0.0001911393326785	0.0035984804567571	190.30769474422087	13.18672052727904	15.565519460972348	39.27961499179412	57.21277199557445	0.0	0.0018164256859073	98.18598742371488			
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	49112.09042499259	48545.09716209771	120260.4141181793	63249.621077197495	20525.550556936887	17115.656493240676	15951.399592660837	68403.40689606557	30671.537652458603	12437.708672965442	6511.063859973838	1048.233963800718	134737.7196235153	90246.6466358704			
ECASYN-PWY	enterobacterial common antigen biosynthesis	37.31798080286927	160.0905629232096	54.597490170276274	169.28646813762154	7.5118850204936924	80.88822223685216	450.737555050772	248.77236930444835	368.19197550365885	247.57098385627387	232.7260470505916	19.20625543530511	247.11361732638167	503.1834635324768			
ENTBACSYN-PWY	enterobactin biosynthesis	357.50848487863624	533.4482854870648	498.4443740277613	948.6422792554796	60.06431787705956	560.4107553438525	972.4378863238388	715.3999092033224	926.8701878624516	688.3992512530914	575.3215367890705	47.48745740874523	384.52206694713465	1290.4425834710182			
FAO-PWY	fatty acid &beta;-oxidation I	4013.4298217769046	3420.8425613922427	3041.4071439988747	10985.102758281775	1904.59715651866	2427.982416933064	4222.083430493652	8427.387495805111	3073.5103738445027	1873.8226677510247	2175.9598007954564	119.22862936152814	2204.5006907266734	9912.60817124058			
FASYN-ELONG-PWY	fatty acid elongation -- saturated	42331.74694114716	37682.47485392329	121422.44044529364	61734.58981209009	22901.83667357819	19031.01030699436	12876.709045287716	73407.42188221499	33526.87749188105	12042.606579966006	5767.784098203471	1420.6103987607946	128162.18114350166	92709.72832202156			
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	25845.83188018108	16378.686306849388	83661.26991089384	33872.159074666895	14220.326434931609	4606.294786442913	6181.144216160507	41764.285984018905	21511.938769027995	6425.806174824638	2013.1809577723288	370.9068847654918	95679.05485079404	59368.28550151574			
FERMENTATION-PWY	mixed acid fermentation	36245.80318868588	37009.58513496463	60478.9129193567	49768.72800400629	13892.171603470648	11599.02887774716	8541.593349841354	61008.29655991947	18729.72937031602	11185.015923132489	4950.572087209296	750.4391652807067	76257.73822950355	72295.52540389627			
