group-id	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NR	HSD-NR	HSD-NR	HSD-NR	HSD-NR	HSD-NR	HSD-NR
subject_id	S210421121688	S210421121689	S210421121690	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121691	S210421121692	S210421121693	S210421121707	S210421121708	S210421121709	S210421121710
Bacteria|Firmicutes	0.47869802492141666	0.9303037884473961	0.9013080168776372	0.6371311766797014	0.9447309979224873	0.9498528076828451	0.9414269394537335	0.6144970414201183	0.8538617064294379	0.9082574427247111	0.3695652173913043	0.8563153689715282	0.38947007374378323	0.6945452915602169	0.6664340544312631
Bacteria|Bacteroidota	0.39178023283196983	0.034624453188376134	0.045580168776371305	0.25690036057081916	0.016835016835016835	0.012937653236958422	0.00197320594038841	0.21057692307692308	0.03291548726243429	0.0220933556581043	0.5696169772256728	0.08939206856478792	0.5115760589950266	0.11563802608578728	0.0903698534542917
Bacteria|Campylobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023060720511330624	0.0	0.0	0.0
Bacteria|Patescibacteria	0.0037986218477070043	0.005625431194608077	0.015348101265822785	0.0028058503885023613	0.001182033096926714	0.0038346355823640696	0.0037387059923148823	0.015088757396449704	0.03251112009704812	0.0005513129415608282	0.012681159420289856	0.002415020337013364	0.028468530269250558	0.0008515978665232396	0.0
Bacteria|Cyanobacteria	0.0002866884413363777	0.0	0.0	5.0784622416332335e-05	0.0	0.0	0.0005192647211548448	0.0	0.0	0.0	0.0	0.0013255374782103427	0.00045732578745784027	0.0	0.0
Bacteria|Verrucomicrobiota	0.09138194067597039	0.0034950455265691694	0.010991561181434599	0.08717180437763446	0.005354968120925568	0.006159171311496271	0.0	0.0008875739644970414	0.021188839466235343	0.024400702413525543	0.010093167701863354	0.0010713248111563045	0.0009146515749156805	0.05553314508538389	0.14200976971388696
Bacteria|Chloroflexi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00045732578745784027	0.0	0.0
Bacteria|Actinobacteriota	0.02735826840181433	0.014169718197739213	0.01270042194092827	0.012220049768929968	0.019396088545024715	0.017417050554410254	0.02762488316543774	0.02529585798816568	0.023534169025475133	0.019357209948135747	0.0033643892339544515	0.022443346891342243	0.021722974904247412	0.10393976065617856	0.03768318213538032
Bacteria|Proteobacteria	0.006696222879785393	0.011781563445311257	0.014071729957805907	0.0037199735919963436	0.012088974854932301	0.009798681631925887	0.02284764773081317	0.1290680473372781	0.035988677719369186	0.025339976313962512	0.03183229813664596	0.0126924753050552	0.0317841422283199	0.029492178745910088	0.06350314026517795
Bacteria|Desulfobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0018693529961574412	0.004585798816568047	0.0	0.0	0.0	0.012038785589773388	0.014462928028354199	0.0	0.0
Bacteria|Acidobacteriota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006859886811867604	0.0	0.0
Bacteria|Gemmatimonadota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002846790890269151	0.0	0.0	0.0	0.0
Bacteria|Deferribacterota	0.0	0.0	0.0	0.0	0.0004119206246865821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
