group-id	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NR	HSD-NR	HSD-NR	HSD-NR
subject_id	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121707	S210421121708	S210421121709	S210421121710
Bacteria|Firmicutes|Clostridia	0.7653961989822411	0.49874260355029587	0.7992721391023049	0.8104708620900887	0.3612836438923395	0.8263182742591516	0.30903790087463556	0.6568957016718211	0.5952547103977669
Bacteria|Firmicutes|Bacilli	0.17603074047149236	0.11575443786982248	0.054589567327133035	0.09778658063462245	0.008281573498964804	0.029997094712376524	0.08043217286914765	0.03764958988839586	0.07117934403349616
Bacteria|Verrucomicrobiota|Verrucomicrobiae	0.0	0.0008875739644970414	0.021188839466235343	0.024400702413525543	0.010093167701863354	0.0010713248111563045	0.0009146515749156805	0.05553314508538389	0.14200976971388696
Bacteria|Bacteroidota|Bacteroidia	0.00197320594038841	0.21057692307692308	0.03291548726243429	0.0220933556581043	0.5696169772256728	0.08939206856478792	0.5115760589950266	0.11563802608578728	0.0903698534542917
Bacteria|Proteobacteria|Gammaproteobacteria	0.02191297123273445	0.1220414201183432	0.03534169025475131	0.023420590517417406	0.03183229813664596	0.0126924753050552	0.03052649631281084	0.029268074044193446	0.06350314026517795
Bacteria|Patescibacteria|Saccharimonadia	0.0037387059923148823	0.015088757396449704	0.03251112009704812	0.0005513129415608282	0.012681159420289856	0.002415020337013364	0.028468530269250558	0.0008515978665232396	0.0
Bacteria|Actinobacteriota|Coriobacteriia	0.014020147471180808	0.014940828402366864	0.018924383340072785	0.019193857965451054	0.0033643892339544515	0.021807815223707148	0.007831704110215516	0.022634574873380844	0.023377529658060014
Bacteria|Actinobacteriota|Actinobacteria	0.013604735694256933	0.010355029585798817	0.004609785685402345	0.00016335198268468983	0.0	0.0006355316676350959	0.013891270794031898	0.08130518578279772	0.014305652477320307
Bacteria|Desulfobacterota|Desulfovibrionia	0.0018693529961574412	0.004585798816568047	0.0	0.0	0.0	0.012038785589773388	0.014462928028354199	0.0	0.0
Bacteria|Proteobacteria|Alphaproteobacteria	0.0009346764980787206	0.0070266272189349116	0.0006469874646178731	0.0019193857965451055	0.0	0.0	0.0012576459155090609	0.00022410470171664202	0.0
Bacteria|Campylobacterota|Campylobacteria	0.0	0.0	0.0	0.0	0.0	0.0023060720511330624	0.0	0.0	0.0
Bacteria|Cyanobacteria|Vampirivibrionia	0.0005192647211548448	0.0	0.0	0.0	0.0	0.0013255374782103427	0.0	0.0	0.0
Bacteria|Acidobacteriota|Acidobacteriae	0.0	0.0	0.0	0.0	0.0	0.0	0.0006859886811867604	0.0	0.0
Bacteria|Gemmatimonadota|Gemmatimonadetes	0.0	0.0	0.0	0.0	0.002846790890269151	0.0	0.0	0.0	0.0
Bacteria|Cyanobacteria|Cyanobacteriia	0.0	0.0	0.0	0.0	0.0	0.0	0.00045732578745784027	0.0	0.0
Bacteria|Chloroflexi|Anaerolineae	0.0	0.0	0.0	0.0	0.0	0.0	0.00045732578745784027	0.0	0.0
