group-id	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NR	HSD-NR	HSD-NR	HSD-NR
subject_id	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121707	S210421121708	S210421121709	S210421121710
Bacteria|Firmicutes|Clostridia|Clostridiales	0.4023263059507737	0.01863905325443787	0.016983420946219168	0.6587372891738473	0.012681159420289856	0.010350087158628705	0.015091750986108729	0.0016135538523598225	0.0
Bacteria|Firmicutes|Bacilli|Erysipelotrichales	0.13241250389448542	0.0724112426035503	0.03898099474322685	0.08937395352636093	0.005434782608695652	0.01808541545613016	0.04990567655633682	0.029626641566940073	0.07117934403349616
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Verrucomicrobiales	0.0	0.0008875739644970414	0.021188839466235343	0.024400702413525543	0.010093167701863354	0.0010713248111563045	0.0009146515749156805	0.05553314508538389	0.14200976971388696
Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales	0.1682417696541697	0.023668639053254437	0.01916700363930449	0.05631559603054682	0.008281573498964804	0.026202062754212666	0.0	0.005109587199139438	0.0052337752965806
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales	0.00197320594038841	0.21057692307692308	0.03291548726243429	0.02084779679013354	0.5696169772256728	0.08913785589773388	0.5107185731435432	0.11563802608578728	0.0903698534542917
Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014	0.06999688441167307	0.27847633136094674	0.2678528103517994	0.03648874913219259	0.062111801242236024	0.3362144102266124	0.12936603212713657	0.0975303661870826	0.07431960921144452
Bacteria|Firmicutes|Clostridia|Lachnospirales	0.05192647211548448	0.09977810650887574	0.13635260816821673	0.010413688896148977	0.08695652173913043	0.2921085124927368	0.037958040359000744	0.2894088117968715	0.2505233775296581
Bacteria|Firmicutes|Bacilli|Lactobacillales	0.03364835393083394	0.016272189349112426	0.0017792155276991509	0.006268632335524972	0.0	0.007299535153980244	0.01452009375178643	0.00618528976737932	0.0
Bacteria|Firmicutes|Clostridia|Oscillospirales	0.029078824384671305	0.04837278106508876	0.2751314193287505	0.04261444848286846	0.16485507246376813	0.1340608657757118	0.0907791688103813	0.22804894446685492	0.2578506629448709
