Unnamed: 0	description	S210421121685	S210421121686	S210421121687	S210421121691	S210421121692	S210421121693	S210421121703	S210421121704	S210421121705	S210421121706	S210421121707	S210421121708	S210421121709	S210421121710	STD-NR	HSD-NR	Total
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	64825.50783469168	21275.329466247145	24773.1486595667	68780.50916722041	24744.058821112674	59656.0994214107	6949.322094679144	1626.3403788158212	115428.90282899924	93230.58462869568	22530.25753375312	6010.108841162956	9980.77244469908	1237.619282555538			
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	29.10350884810545	0.3370517114225635	3.707163828749789	208.9569562964658	129.75582837501645	315.5882404720946	486.2755432157053	0.1742813639831288	261.0289787152021	1012.833769858834	636.2942230033933	273.68098538771966	228.0164225963567	94.6625305841757			
AEROBACTINSYN-PWY	aerobactin biosynthesis	57.80217683257049	2.4866416240979885	21.458032053838345	62.415221915750486	79.27165194461563	152.84603700385205	83.52686335164091	6.722286893383729	48.84923044871535	100.83572268879396	64.13109279065583	68.02600577972291	53.98913851703556	17.0121881443319			
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	1157.0174134069014	64.05524158045198	414.4368980143016	1475.403530595228	734.7825795019912	1424.9583881036845	522.5248935817782	40.02044160486443	735.5084520978753	1563.191703535984	914.6303816009652	674.8105079442902	1004.0152798645028	189.4017015203449			
ANAEROFRUCAT-PWY	homolactic fermentation	65506.96476670035	20572.43920219828	26080.357969697143	60004.143023131786	21418.965086106007	52548.61757100756	9289.971757603384	1720.6630881520712	102557.21419073366	92547.63111952587	22137.592304303907	6210.505099414857	11838.964506144468	1119.2076860310951			
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	88397.63780370213	27552.496330602607	33477.13151387611	97951.25836774422	42421.70822490075	95871.02361456938	12825.37593577964	2504.302587991398	153540.80001688172	136585.9175511194	37459.50390547919	8814.92758934833	17156.57295596853	2110.5284798591515			
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	23227.44910778496	5418.71713116483	8129.685420060362	22984.67643776271	11545.684714165613	16088.178839758551	4747.45457929589	451.9023553038171	14111.148125771137	41604.478183225256	12505.928671882297	2680.206263861348	3573.4632842405945	436.9800672704116			
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	50.77922416541158	2.2468805814095583	20.90062384598216	64.67523816066131	82.48749859177813	137.37489607901762	82.92444174951987	5.579355769483252	83.71465122085891	97.21252417645836	81.91059546605798	103.6111178317262	50.64820708986255	13.827250883881812			
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	11178.630631794997	2476.567070765981	3823.156001368309	10938.19698187974	5321.182705910769	9572.021834705209	1128.7166785924517	150.83520013818617	27022.87341905676	15785.655241355124	5104.789514700321	1261.314090807278	3096.106069363527	159.22177743696452			
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	55921.63500150132	14266.46926510823	18750.937136748635	66714.7265723584	25629.014639544625	56307.37144279527	7271.971465463145	1184.1324031145346	83218.4095252646	86874.9009466861	26302.517041648243	5616.4483497717465	11299.98523212142	1239.9953635300485			
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	53730.18942585116	12382.380525554949	17943.537529475645	67357.4059207161	25901.08328133291	57610.04415897172	6866.606739721432	1134.5549374862503	71915.30783636446	83004.83714176994	26258.116693158783	5573.68897224626	11604.752337463571	1270.1077733053637			
