	S210421121673	S210421121674	S210421121675	S210421121676	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681	S210421121682	S210421121683	S210421121684	S210421121685	S210421121686	S210421121687	S210421121688	S210421121689	S210421121690	S210421121691	S210421121692	S210421121693	S210421121694	S210421121695	S210421121696	S210421121697	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121703	S210421121704	S210421121705	S210421121706	S210421121707	S210421121708	S210421121709	S210421121710
GLUCUROCAT-PWY	91833.31491010862	130249.8586550226	50457.09786290858	109397.05629372048	53008.46474528888	8951.121312395679	46907.429472576354	22214.159068862955	17331.841780132734	17365.67672071307	13864.87115868062	43626.49513568874	26089.961674414142	8200.255583342001	6153.834086090796	12534.194898042735	18414.18358225715	10382.46147106035	30691.233929592607	8794.41946696203	13512.678122028652	10195.194233772318	22623.027156338307	10315.03574642214	5396.353782435568	1379.419075575442	4392.169222022301	3038.6746886791943	8687.273816391076	536.9627163648022	2722.998853833832	416.40009333385666	84153.90709799281	32788.955514776695	15835.260616520563	2649.758966642296	7445.5613301192825	902.1383637802038
GLUTORN-PWY	90743.41780467433	186512.66235156232	70512.43795693782	144922.60326566786	72846.13015068951	20514.497113778107	90251.44679107759	42339.56384379143	48617.55378952451	39931.3352583616	39683.72625657453	65351.09507957357	49257.01934471329	14320.279581205888	13570.695079926138	32794.23252839911	77306.19368466224	41613.33806592067	62485.55736487155	23077.50820498067	51653.74151083242	15141.476090757395	48171.676592505784	20315.73476622511	9155.736983653964	5186.991432894836	6253.653950044296	5560.723543334194	37567.07546722862	1238.962071314295	5446.463843271234	797.9735880544722	84235.36502626876	74302.01784135005	22804.226819921838	5334.170161301866	9064.61696316104	944.9865236730016
GLYCOCAT-PWY	141750.9150877139	213122.46288302747	104732.23071302279	202106.23422637765	105268.70969699752	30527.513086890536	114743.82438042077	80830.86862395873	63309.49355956825	65657.74547269398	62032.874301365024	121990.5520645785	80659.31789354178	24562.1633665442	28535.37494467971	48190.1085467044	122865.35503223358	72527.89949219303	90583.6730854137	35744.93322826537	81585.26860728119	21710.91376184956	92298.61687275849	36061.52123198332	16376.73018782052	7845.533827006827	7878.718921268	6467.845068508863	51862.39481660602	1941.5848466468083	9351.064040569758	1818.7577338509968	151192.27095854498	125586.00815578537	32177.02569774862	7922.592413886901	18588.789973693732	2437.7316899123985
GLYCOGENSYNTH-PWY	102543.54372049737	91983.09732437546	25337.094753747002	96742.28435119765	23444.594035863607	24524.5965611068	58257.863920593205	79353.4350186288	32413.409098035165	59694.475230612035	65657.42112750473	98129.6943427503	73653.94843697958	21254.425509417943	33925.0444482101	46647.58520824807	123718.13101493698	70266.04321304675	89127.20606059856	38164.81281998409	86492.05694534573	26802.29893410096	84073.1919113432	29587.009096519418	16171.793328912827	8249.881206301285	8376.201056618982	8335.206882121352	54903.97104436997	1772.4748740245548	11053.951896522587	2471.647565258848	111207.57146671365	122250.94339250927	35176.02862113973	7388.888353785135	16337.77808761831	2141.8651985237193
GLYCOL-GLYOXDEG-PWY	574.2584805119499	1000.710779533318	1330.6541081985451	8153.399079575954	1539.0293395457802	126.24872086179853	235.51464078133102	1559.6782377629222	274.56013002773386	77.97854640660395	305.771445450771	1129.2007294367656	785.1653576780855	108.10759058620592	94.40497701457925	1959.644477320998	2701.276734966186	1615.7969580576157	1024.8460027127858	934.386567357842	1952.6924540550065	742.9009508534489	528.0598606859486	615.8582055266107	683.9326315546937	262.31468386771405	845.0900883304671	263.146546817733	1240.0210887777878	35.78597824494645	662.1462122411486	21.89009247780817	773.1185444079267	1662.4791052750195	912.9487296688361	537.025938339665	1312.7842026325375	93.73570203845244
GLYCOLYSIS	142657.38427329488	264005.7669668832	108055.25350866502	214147.75595853527	109555.3518168402	36008.191672369634	133935.1601736811	87231.96839302378	72686.93470080686	57816.813816589514	59323.00172091779	126838.62927416353	77314.76360190655	25067.08097219774	28299.797678999435	42212.205172656395	80141.68407806753	55226.6105049127	70887.13782376853	26685.558463041063	67028.68150365532	23258.84804664274	84557.52825290633	34002.88831473072	16564.540896814353	5082.898241927095	7410.590676489795	6189.806577544533	22351.560387016747	1614.5761068274985	10432.148250004999	1865.683904554388	117327.80402785394	113821.39220587128	25867.738275857137	7386.460939044566	12911.443610853416	1278.5542776514337
GLYCOLYSIS-E-D	50917.58080322248	93105.06194076469	12815.295655144966	51805.241519648815	13302.0104613957	4558.695625568435	27706.62014493354	30548.858209541533	7549.127265753391	21917.925923224087	23520.532199670906	27642.690871468058	32149.382299192323	8360.53877597244	9331.303513645373	14191.628267813348	12125.768032583797	11997.745576128204	34378.23235016222	9310.478160125396	16283.098582641374	10776.094859498418	31428.72838175763	9906.726643982369	7125.042078339304	1366.8840074394802	5800.076489999659	3242.836220275493	6210.673027505231	776.549791657134	4520.645599443423	436.96249683700495	69565.01895315302	45053.51508835298	15377.047480730838	3921.19733471454	8033.507266345807	883.9937692384915
GLYCOLYSIS-TCA-GLYOX-BYPASS	1126.7105158078775	1340.6905323443093	2368.9437353554117	497.4279798432075	2726.1359983441785	305.01433819232665	786.6575552355913	1841.4720267469193	1047.0361078199026	154.40291881427387	681.573835067168	401.64418423488706	728.1629491413307	35.36599027427348	347.35290810239326	1653.0568216007605	3073.1870347358126	2639.918427330969	2104.5035098264307	1486.328801395073	2695.52957048744	4287.69064770087	1244.2429932953594	1665.4007447853116	1372.6531466162635	607.288319498433	3388.944700612016	921.9470106728096	3479.7702112041366	326.70719667207317	1873.9215502285042	53.39140084975894	1356.7712334700036	3653.1619317326936	2591.487376323232	1227.7080622828082	3115.162900067863	359.65636120996203
GLYOXYLATE-BYPASS	614.1292815559799	1008.2735867834939	1395.5277211902683	10746.401340979852	1618.8644934412557	136.0782779355978	237.63088228828036	2287.485278757711	302.9748557885265	81.37600787417264	359.3314564308314	1196.465556117244	1007.6279860197872	114.79816123062618	175.20773650835017	3019.880420660444	2869.8322821536567	1837.6447838057845	1219.1956100071639	953.2876442028468	1953.9668785552258	2180.163449320879	583.967886397746	748.9018920037497	808.3442764410191	258.75035403942496	1850.9434230710174	501.27890485749737	1579.6332792213414	163.2741608964702	857.6830905228052	31.515653855756007	796.7658432373393	2205.7745213513435	1253.8313826806493	912.5703646043244	2311.628864398039	210.50088528960703
GOLPDLCAT-PWY	2803.837916576795	2085.47261097763	360.6637402622707	3567.3131903620283	419.5148654728001	1096.1504487279144	478.13593082929196	4344.200697275155	930.2716034945396	3994.3891545783354	5033.909315423106	2972.8267645476703	4224.285434369152	1246.8475915124488	4677.3107405960145	3599.0288685992623	6253.926080405005	5987.151063665209	4495.907002064507	3055.7689375758705	3195.9906886272997	1450.0209334034676	12402.590771948564	1925.5657145271907	1568.8434619060604	278.21399862739844	467.89767749780833	978.7593091956661	434.3104708646172	130.54314132271872	616.7993759737996	162.81061254626184	4416.762334722081	10318.163075472228	4168.492824046996	577.5921164754686	1413.4138866593908	165.67594136404497
