	S210421121682	S210421121683	S210421121684	S210421121685	S210421121686	S210421121687	S210421121688	S210421121689	S210421121690	S210421121691	S210421121692	S210421121693	S210421121694	S210421121695	S210421121696	S210421121697	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121703	S210421121704	S210421121705	S210421121706	S210421121707	S210421121708	S210421121709	S210421121710
EC:1.1.1.1	65370.42756960202	78111.73754178578	142704.4245282847	94874.73560852213	30149.332333794475	71742.7124942384	61052.15981802281	110392.04857815178	70004.5745349613	95419.00560988551	38893.67482127179	79948.73006915783	40621.63960865343	123371.54595967548	40321.38093731941	23299.94296032707	7832.769140943236	12270.270660891265	11786.50528563487	43811.9590611481	2215.365518822912	19638.920336137682	5749.399473021478	165928.90670397878	155037.14067622315	43557.08121451489	10028.69689530783	23128.031226477862	2748.484425385733
EC:1.1.1.10	0.05262142972898448	0.034203147400699845	0.031954287678855706	0.2673020083400918	0.0770726119909457	0.5974716809393559	0.014931282701436222	0.0852266160621529	0.021636853963040263	5.081690008601877	0.003496990449526649	0.0012141398744575473	4.49230362098164	0.005331993689029209	0.028397776716102406	0.0021258315683327965	0.16698367570556363	0.5451497317864786	0.1060329898239371	8.63414971502003e-05	0.0	1.7947389532295281	0.0	6.14531297839095e-07	0.4506990282802777	5.354842948767483	0.0001746353324076829	2.1533870592154165	0.39302600834011336
EC:1.1.1.100	134523.4007149749	148221.76101227198	226979.41260846116	165730.9960373492	48955.53174224766	73287.86315542994	107021.46853823637	194056.57374278014	116847.20904415133	197363.59702255548	71842.53805283262	139603.69437225643	68190.29623392894	189469.32485593925	75774.8310839687	36762.5949275468	13837.815439968432	25924.496920442503	25606.6815034836	83980.04432633996	3991.8105387035334	26820.221434262017	4887.867868576839	314666.07233774784	254928.89850081314	83775.94731225961	17395.339659224544	47895.41491784874	5512.173819935049
EC:1.1.1.101	3.5121728487525455e-29	1.557752019033443e-28	3.7459003348252047e-29	1.018263007177301e-28	9.369967968448563e-30	1.7635990935714658e-28	7.347108402011478e-28	3.6807071224416216e-28	4.462845506472811e-28	1.246226608329201e-27	5.743435599724752e-28	9.294006535474949e-28	4.752396451896496e-28	1.0159245801555096e-28	9.528529500268376e-29	1.3697295007877425e-28	6.554803872805553e-29	6.945045300444725e-29	1.069094563526993e-28	5.087955212444196e-28	0.0	1.5226721197123838e-28	0.0	8.896252438640585e-29	2.9568795706464563e-28	5.532872177003936e-28	3.432872451692179e-29	3.394474364694528e-28	4.8373242206823537e-29
EC:1.1.1.102	0.21729074535212106	0.7320748675334026	0.10171646037695735	0.425318250761084	0.025443281732092895	0.6556352290866523	1.9794843180224566	0.9821019732133698	1.6570608089454841	3.956937120072208	1.6510175411172676	2.9076741837003706	7.561786775656681	0.7858250086382438	0.5890589542022886	0.5701101064715632	0.48886192561874064	0.8895011457907098	2.924336511612657	11.538294713408478	0.08042715570071299	1.8999533651087346	0.0	25.207170680839134	2.4282738693863566	4.427980671478089	0.7027559032997404	1.3544660878326598	1.1976864329485604
EC:1.1.1.103	11205.018648313457	6330.713283495692	7764.104402486104	13180.872198317556	3130.2548680707446	3066.346065772026	7554.053040425568	3710.404352130057	4116.185153568757	19777.425798840875	4205.9283498144305	5406.391344016406	4896.957649223977	10490.93733272463	6599.0094288686005	3393.9627963890985	369.09226592905793	1243.2065900198213	1210.0983309906308	1434.827363303738	308.96362494668944	1672.6826857684132	211.06739475020134	22823.80000636305	11497.911672318	5684.864134331258	1114.8651794507225	2223.4844059169627	296.4556708327034
EC:1.1.1.105	0.0	7.744959133888674e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21036969958962415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.107	57.62424926608708	345.29789187358637	303.760890050839	265.8550372103373	72.97110334404958	192.50891716880045	859.1418023507331	389.7657516748584	521.5957813264474	282.3012940089609	676.7695333805755	272.22627905515924	729.620645103743	262.3273625430511	293.01218601458777	114.38736160051687	17.89881261037148	290.7623758328917	184.7291683602185	113.26316080685932	8.511119272339677	115.12235549926464	32.19288450201015	86.16746968069351	1876.7518755721303	704.089728295881	122.03714844726149	235.0452955457349	19.342909475755597
EC:1.1.1.108	1208.0071709827544	648.9625120949225	313.8350397483845	3873.0009455651575	587.9884783185589	419.4365801418662	428.32877348902485	306.06782622417444	303.4005990397601	760.8392253349501	391.23488206916426	388.28095120978867	343.3393968319424	1892.1994906362497	620.9446685102221	208.80247626158905	39.50523218992555	187.88570563163876	173.81206401173725	149.46100841842016	59.798294219223315	185.06754621459953	22.762489654928558	438.2306181570841	1292.3150541054172	790.9168525957081	197.2883020178563	176.52952124111337	28.374703550133262
EC:1.1.1.11	4.000289037410864	13.331312896321279	14.250343855616888	3.5009614685727444	7.827935381804734e-05	0.0013767756570305036	37.50563212034896	221.17319581442138	72.33377532783875	31.259372484291355	30.00450868661779	74.25738631101336	383.2537561535415	61.00096646831833	171.50092683439132	76.00123926176218	30.33058255872791	658.5005917425185	50.67101697104431	327.00395840078744	0.00028640415031562044	228.5014162072073	2.5554609536353353e-05	24.86682431147883	167.25250048982764	153.00427997668467	76.75050576065361	38.252679524745744	33.670413329167445
EC:1.1.1.116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8185315649576024e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
